name,symbol,tv_symbol,eod_symbol,y_symbol
Arab Aluminum (ALUM),ALUM,EGX:ALUM,ALUM.CA,ALUM.CA
General Company for Ceramic & Porcelain Products (PRCL),PRCL,EGX:PRCL,PRCL.CA,PRCL.CA
Al Ahly for Development & Investment (AFDI),AFDI,EGX:AFDI,AFDI.CA,AFDI.CA
Rubex International (RUBX),RUBX,EGX:RUBX,RUBX.CA,RUBX.CA
Delta Co. For Printing & Packaging (DTPP),DTPP,EGX:DTPP,DTPP.CA,DTPP.CA
El-Ebour Real Estate Investment (OBRI),OBRI,EGX:OBRI,OBRI.CA,OBRI.CA
El Kahera El Watania Investment (KWIN),KWIN,EGX:KWIN,KWIN.CA,KWIN.CA
Pioneers Holding (ASPI),ASPI,EGX:ASPI,ASPI.CA,ASPI.CA
Tanmiya For Real Estate Investment (TANM),TANM,EGX:TANM,TANM.CA,TANM.CA
Universal For Paper and Packaging Materials (UNIP),UNIP,EGX:UNIP,UNIP.CA,UNIP.CA
Speed Medical (SPMD),SPMD,EGX:SPMD,SPMD.CA,SPMD.CA
Arab Real Estate Investment (RREI),RREI,EGX:RREI,RREI.CA,RREI.CA
Arab Valves Company (ARVA),ARVA,EGX:ARVA,ARVA.CA,ARVA.CA
The Egyptian Modern Education Systems (MOED),MOED,EGX:MOED,MOED.CA,MOED.CA
Golden Textiles & Clothes Wool (GTWL),GTWL,EGX:GTWL,GTWL.CA,GTWL.CA
Osool ESB Securities Brokerage (EBSC),EBSC,EGX:EBSC,EBSC.CA,EBSC.CA
Rowad Tourism (ROTO),ROTO,EGX:ROTO,ROTO.CA,ROTO.CA
Arabia Investments Holding (AIHC),AIHC,EGX:AIHC,AIHC.CA,AIHC.CA
Prime Holding (PRMH),PRMH,EGX:PRMH,PRMH.CA,PRMH.CA
Arab Engineering Industries (EEII),EEII,EGX:EEII,EEII.CA,EEII.CA
Arabia for Investment and Development (AIDC),AIDC,EGX:AIDC,AIDC.CA,AIDC.CA
Real Estate Egyptian Consortium (AREH),AREH,EGX:AREH,AREH.CA,AREH.CA
Creast Mark For Contracting (CRST),CRST,EGX:CRST,CRST.CA,CRST.CA
Egyptians for Investment & Urban Development (EIUD),EIUD,EGX:EIUD,EIUD.CA,EIUD.CA
International Co. For Investment & Development (ICID),ICID,EGX:ICID,ICID.CA,ICID.CA
Egyptian Arabian Company (EASB),EASB,EGX:EASB,EASB.CA,EASB.CA
Lotus Agri Capital (LUTS),LUTS,EGX:LUTS,LUTS.CA,LUTS.CA
